,종목명,현재가,전일대비,등락률
0,원익홀딩스,"11,400","상승 2,060",+22.06%
1,삼현,"17,350","상승 2,480",+16.68%
2,젬백스,"56,400","상승 7,150",+14.52%
3,하나마이크론,"15,640","상승 1,620",+11.55%
4,심텍,"27,500","상승 2,650",+10.66%
5,미래에셋증권,"21,550","상승 1,850",+9.39%
6,코스메카코리아,"65,600","상승 5,500",+9.15%
7,HS효성,"60,800","상승 4,900",+8.77%
8,네오셈,"9,120",상승 700,+8.31%
9,코리아써키트,"14,160","상승 1,060",+8.09%
10,셀비온,"23,650","상승 1,700",+7.74%
11,테스,"30,850","상승 2,150",+7.49%
12,기가비스,"29,100","상승 2,000",+7.38%
13,동진쎄미켐,"31,350","상승 2,100",+7.18%
14,키움증권,"227,500","상승 15,000",+7.06%
