상품명,가격,url
Apple 애플 아이폰 13 미니 128GB 새상품,"298,000원",https://cr.shopping.naver.com/adcr?x=nkenkd1pOfp3m%2FFAofBrrP%2F%2F%2Fw%3D%3Ds4FRt1ThNmChPTWsUgKnhYq1odJ2%2F6LBtogIwFjN3ri1yoYErd7Wx1dfdVO6hh7qVL7btb2wI%2FavnV8cJkFdMPsKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojg%2Fq43gEJBpuKo4bl1tT3pjaVokXeB%2BFEPJLMumGeWy5moZM3gSNH3h6%2BDtNnzbeVyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1zPnBo0jGi%2FSdSlDWdPE2TPsT%2FxSjpUJFdlZfyHQtivxKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyKR1V%2FliXE2lu%2F5zyDI97DO0pQtdBAjJA5I31buo3J3FK98KaIZa4VBE0V5wqYGSTqZH49cjKL9Q00dIA4UK%2F0eMHn7BDBNaqXNmoKbAeTMvEHOWtFzR9N9nOYgVy2nfcAvjwiuIVmVWpP5pRh7n9mzSgD3VGDT18%2Fitl6L%2FmTdxXZ76KJZClTaLoisbxYrSEHb%2BOhmqxnW6D%2FjLvs94WiDr2tnODe64rb7uSLBATmnLGqGTHBr4YRDb6H3u8aWR7eVFoQ6H6wvqPrmgNGgz8omgCfwNxwy4FaRhj1RSEGeHVoWd0jB03C5aYq3HUc1IKtSSLJQZncWk8e8Ttfjz6Fs%3D&nvMid=88573763568&catId=50001519
아이폰 16 프로 128GB [자급제],"최저1,538,900원",https://cr.shopping.naver.com/adcr?x=2MlrTVAbeFnS4eG1FmXRo%2F%2F%2F%2Fw%3D%3Ds%2BXBIWoILvpE3u2BSnmL2VhsVmF%2BoI%2FaEZ%2B2b8EgTULjxTAJR5s3V3RheLYZrm3hTyBQ8CmR2Z8uSfJFAaHMrqmg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUpmWMW02Rfkp%2Fa7XIA5kPyigqPjVtKicAMxlBv5fNcgvumundRtj6DafqB7IoIcy%2F334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMtRDsmyJXi8r0AaBiYB%2FiTAY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpESWkA26NjCjQKaiTj79qQ2IYcO%2BwZChQd38bYTPmzUgD9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ6y7zxN%2BUGXTgQqgaj4d%2FP41C8IvS%2BNPsEPJ7D6mlNi%2F4%2BGTGBONvh7FYbvnx8%2F8pvoE8d2lVNTA7ssvli2uvVTktdy%2F0DPgmbquq6SjnyPoOyovKRC4aHTXKUgO0QOirGcief8o13bHY%2B%2Bo6avHSXNuUTzQo3Bt83F6RCwYl6NGT8VE4JNsZmPn%2FuLiKNIWBuzW4e70pMQGc1VnmdjemlaWeZHEiyDmCnsuQ8Lbd1GUdRN64mBm9G8QruBkLDcHT6clE5rfZtJfgUZ%2FeL65Mr%2FaxBrf1r%2FFyRMBgLToqi4YpvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=53599505975&catId=50001519
아이폰 16 프로 256GB [자급제],"최저1,647,990원",https://cr.shopping.naver.com/adcr?x=DEuZogAXpDf1qLgVZV9%2FKf%2F%2F%2Fw%3D%3DsqA%2FIC7%2F%2F8aqKKI5JMdTKQbpmVY3Xey03tOz%2FKYQb9%2BPxTAJR5s3V3RheLYZrm3hTpRUsSV6fMGeRUOU0FMaH8Wg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUpmWMW02Rfkp%2Fa7XIA5kPyigqPjVtKicAMxlBv5fNcgvumundRtj6DafqB7IoIcy%2F334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMuf0NR%2Fx5rWTcVMnKn8BCOoY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpESWkA26NjCjQKaiTj79qQ2IYcO%2BwZChQd38bYTPmzUgD9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ6AvxaxRZvCqhIrBqJ6aJSsFC8IvS%2BNPsEPJ7D6mlNi%2F4%2BGTGBONvh7FYbvnx8%2F8pvkasU5T1tkopCzWYfQv0l1Utdy%2F0DPgmbquq6SjnyPoOyovKRC4aHTXKUgO0QOirGWpKGSANuTAi1bn24Lz1WdeUTzQo3Bt83F6RCwYl6NGT8VE4JNsZmPn%2FuLiKNIWBuzW4e70pMQGc1VnmdjemlaUtut63CJZPyzw0YrQVuut1RN64mBm9G8QruBkLDcHT6935J4zAHYDBb3kPyAY3fMdAgTZwSZXktDTmsNDNUZMBvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=53599506392&catId=50001519
애플 아이폰 13 미니 128GB 미개봉 새제품,"298,000원",https://cr.shopping.naver.com/adcr?x=2YPFThtHpliddH7zNYA%2FcP%2F%2F%2Fw%3D%3DsJJqGib3TZD6QdKGAV9boXlBCPmcB5j5FZeDQr%2BNSvwlyoYErd7Wx1dfdVO6hh7qV8X2KFyYbK5e0R7VmQSHqR8KdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojg%2Fq43gEJBpuKo4bl1tT3pjaVokXeB%2BFEPJLMumGeWy5moZM3gSNH3h6%2BDtNnzbeVyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1J7CcSJ0DIUdHAyuPJ6A8oPsT%2FxSjpUJFdlZfyHQtivxKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyLMSpoRkHOtxnxPIXVCi7DuAixnWzabim34zkcem3JwmvX82Y5Ils9cLeBDu1LyZBy3P7fbnqZxnF5ONYEtSOhkUIkt5M0yIil13vZMydQVHa6Vks%2B2VmMH7X%2BXhca4pjUfTmu80PPs%2FMBPhnIzy5qsPdqxd%2B8vMJd%2BB61wKXcZKHaEHQ%2B8%2BFU2ZxhzmZfYClqpTsGXQLJ8hyUYEUlHuZEljGRfK5wg06sS3WunRnJLUy%2F0zXg4nm4VnHbjmbnBVqXYDuBON6VfaR%2FoRlnxBuXAfw3ZxLZVd0hXNkvjZ7UpTATQoBoZyaGMgPFeI9gEXDQ1QmAmnoJRdq4K9btjkCM0%3D&nvMid=89710098371&catId=50001519
아이폰 16 128GB [자급제],"최저1,150,000원",https://cr.shopping.naver.com/adcr?x=%2BwXD80X9%2B2UPKGKwgcwbOv%2F%2F%2Fw%3D%3DsUnbF4o1A5b1S6q2jQRxYSBLLoJ%2FzEtP7roATjKfWu6RyoYErd7Wx1dfdVO6hh7qVhcZkKhi1nDnBYjenXgA2IsKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojg%2Fq43gEJBpuKo4bl1tT3pjaVokXeB%2BFEPJLMumGeWy5moZM3gSNH3h6%2BDtNnzbeVhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9BnyaG6bwUtY1txwz8CTzZqIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VExGrCVcWZxUYVdjs%2FHfLzaMWit%2FicZSA%2FCK%2Fne362WaoBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v9q1JPrbm%2FZXHatO4mIy8JqbNoujdiiNe5Aky91pn4j%2FL%2FRfyAUEGGvquedOTk2rasX8SIJ5qHfTnSjpJNBuFIpbHJM06m8XkkoABSxxLFFemOsyh0bwCm%2FIOHaD6%2FrVAH%2B%2B2yXwWofIrR0fXNW1MmeEP%2BQUw7izuxPHixtztdddDckXZkEU6M2AaKer2jiKrSPLdoIqsHpvyfRGQmkhS42FV5xdI01BB%2Bo1oP3Dcu3UqIDf9TYDOC4LzgCehLsur5bdWhmZPH%2BSPAmVhQHkpxxfNM1vvcRAGs4v6O%2B3JMl%2Fvke%2FVP%2BgM94BPZkP5YJ%2Bex&nvMid=53599047304&catId=50001519
아이폰 15 128GB [자급제],"최저949,900원",https://cr.shopping.naver.com/adcr?x=UhCm%2F1M8QbIBjQ3GpclKU%2F%2F%2F%2Fw%3D%3DsJCHYZv3X4vQE%2Fbn%2FSh2wDQiPlAFKf0yZ4L%2FUxJHCVqMAjU5j3gjlMYsRq8%2BGHFpShLQw%2B6JuwzOQoP%2BGIp7IvzXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVYGgJgOkBOhv00VctSKEY2gqaAUUK0wfEnvAn8a3oubnlU05CXBhSD3WPPdCE7tQp2h%2FqNbmMd3P9tE5jamCbKQuIB8ncdehaYvLTVmrbJlHMM2mSi7Sa8mQt93SiG8D6Cb3k2P9GsyYcLETHoLzpIeE8YCiibN06F7pXXqOPTLCYUXCaGwk1EXlpq6wL997eoni43GKTxG3menaWDNrrgsOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqqAeOeS%2FrCJZ6o%2FQJMiTl220mmFAEeToCuOR8ihX%2BdK8bV9SohnsJOp40F4RSK4iNUFczTaXAUp3PI65Af00IhS6UxJeah0Om0lkIOZtT9ZLxLbU57LuNzmnFLwGq45KooHKiq60hUuln4NQvZYiT0M9Tqme0YK6uG79Xy6idNiHH%2BfrfKNRTgWseaSfHVyvKQI4poIkqxZmwf%2FX7MjlP%2F%2BJNw334Sry5Rc3OR11sfHqdSlPOZBN6V54TTL6u%2FzFszcLOA%2BsMDYnX4jgwhIG%2BcpC%2FLbTSTczCTwA5HN4Lmu5WhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=53599527966&catId=50001519
아이폰 16 256GB [자급제],"최저1,394,000원",https://cr.shopping.naver.com/adcr?x=PeDqfUEWvkytuVZ2EfHzj%2F%2F%2F%2Fw%3D%3DsNMMlcDeAGp85Du7PZNBm8ujsw2Gpa0QUV6JP9TwleqgAjU5j3gjlMYsRq8%2BGHFpSkFHkmR2YBwF55rXxAdcH%2BzXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVYGgJgOkBOhv00VctSKEY2gqaAUUK0wfEnvAn8a3oubnlU05CXBhSD3WPPdCE7tQp2h%2FqNbmMd3P9tE5jamCbKQuIB8ncdehaYvLTVmrbJlFydh93vC%2BUS65niDrA4EN3vLxjHMff%2BgVyiwLG0MmiL%2BE8YCiibN06F7pXXqOPTLCYUXCaGwk1EXlpq6wL997eoni43GKTxG3menaWDNrrgsOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqTKbVI9XtNuCcJLLsfQgQSZCUqhNbugFHlLh7n8V5E%2BIbV9SohnsJOp40F4RSK4iN5YFGhgVejVWdpgVO7H7FQy6UxJeah0Om0lkIOZtT9ZLxLbU57LuNzmnFLwGq45Ko1oflcsAZ1iAM2%2FJfLnLA5c9Tqme0YK6uG79Xy6idNiFfoBb8PeOvHm40vLS2IUT693e6imtuV3d386wKKcZfnuyOsnUBhQuUpnYKWK3oZG8BhNg6pO%2F%2Bw6bSRwW%2FduOkaVAW7DL6dVXxkeeEDTc%2BP%2Fbo75lPAFv%2BQoxozSl71oQDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=53599047322&catId=50001519
아이폰 15 프로 256GB [자급제],"최저1,393,900원",https://cr.shopping.naver.com/adcr?x=SYSqQity2ylA5Ql0zclxWf%2F%2F%2Fw%3D%3DsnSjIBsAoTzSy0IZz1txzzEFztRSczYJFSga5HO4JxglyoYErd7Wx1dfdVO6hh7qVZUZTvVK0Mo86bmyqrFyyasKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojg%2Fq43gEJBpuKo4bl1tT3pjaVokXeB%2BFEPJLMumGeWy5moZM3gSNH3h6%2BDtNnzbeVhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9BzJ2m9xzVX16%2FGarX%2B01r3Ik7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VExGrCVcWZxUYVdjs%2FHfLzaMWit%2FicZSA%2FCK%2Fne362WaoBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v99NHUndf7qHolWz2J%2BEXSULNoujdiiNe5Aky91pn4j%2FL%2FRfyAUEGGvquedOTk2rasOOdthiZOErJe9ssQl4FdRLHJM06m8XkkoABSxxLFFemOsyh0bwCm%2FIOHaD6%2FrVAH7sVtvBm3v5YZOclclZ%2FaPQ385erTrEUuUwLA0NA5uM%2FAzargGY5Icp7C5aRX7mFyaKtrqygSsoi6QS8o4VEc147LCp9MzUB7qJ540iKUuAWUy967mlSa3mZfqZTLi6DqY2E6yujLQ11ygCtiwpNH5bjXcZmNJfMcXCg6u4Qu7PZqQC9hxrCS4fZ6zUrDXWFDQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=53599860411&catId=50001519
Apple 아이폰 12 mini 자급제  화이트  128GB,"458,000원",https://cr.shopping.naver.com/adcr?x=XstUSUetDEQ5Qd5FfGpFgf%2F%2F%2Fw%3D%3DsZ8JxXy1IpZdfQGp2uTFaMvC6v3fDIkpAdDHnFswBtb%2FxTAJR5s3V3RheLYZrm3hTeD0EsD7YkPoHzDlfafcF5Gg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUpmWMW02Rfkp%2Fa7XIA5kPyigqPjVtKicAMxlBv5fNcgvumundRtj6DafqB7IoIcy%2FHNZtQ%2FiGx%2BQOIyH96Kmut2E6W4nW1ZBCJdFOCy3XN8wlaToL0ghSmUdGhrZMUHbDhsxCoSeBQNhekFZM3i0X%2B%2FEzggOzlmu%2FowE4agagGR4kVjp%2FDPUqzbBM8RIYUknvrLM5G5gm3kecO2r3SHi42M1qXVjYg2eRSXEHbnYXpWwsxyrpaTS7fjAmtxCeI9lwElpANujYwo0Cmok4%2B%2FakNiGHDvsGQoUHd%2FG2Ez5s1IA%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSel5lPuIM9GqFiJCLdtOyAM3MG0xAK9cFbztp9AIDgfdSbF4OZVL2Q%2FcwuxYvViSThyVi81K3R7gLl5UYW2p65YTUl1Mb6CmDxR1AktcPJbKn0P69pgRuFlNpayUcdMQ6yLo6i1b4MttAoU71uII3TXFT2TKzrkHct%2B15LL8HedPYpZF%2BuO2XY48Pfq%2BTHL6fmime0Bhp%2BVkis0cfZG5j5IE81Gi44tUFH1uRUKbnASPQ0V3PX%2BqZ6niBd3SkBIGiTVfexMN7WomrFHuiLQQrUIq7j%2FNw0eukmWJ%2FOw0UibYhHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=55795851881&catId=50001519
해외아이폰 5S 무음 공기계 인스타 카메라 감성사진 학생폰 세컨폰 실버 16GB 항공,"79,500원",https://cr.shopping.naver.com/adcr?x=CNjpS4bJFQlWv12t3YIgrf%2F%2F%2Fw%3D%3Ds0Z0buITBaUG2lEyfo7G27u%2Fr989X7hjBvQ%2B%2FhRC43ApyoYErd7Wx1dfdVO6hh7qVCi3Lx2ruGH6%2Bh1krboRNecKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojg%2Fq43gEJBpuKo4bl1tT3pjaVokXeB%2BFEPJLMumGeWy5moZM3gSNH3h6%2BDtNnzbeVyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF2nKXtodEASDw6nTifdB09vPsT%2FxSjpUJFdlZfyHQtivxKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyBAHp2QFXeoSSvPuArv03Ywk4%2FvFrqwewmzyIpkFL9bBAeuQKgRq6z4fGpaOnMSDdmp3oVjLJeInOmm8T5aeJcmMHn7BDBNaqXNmoKbAeTMvZqkF12SSa%2FkiH%2FT7OfVbhUUIfW1YUAcNmlNjwmK%2F%2B6Pltm1xsvVBiFqLgY6BHXkGEvntoHmVDRKgLU1FsWbr33Pru4aajHasHFZV5tiOjAU1PlIw18TOuiwreRB7nEu%2BKv5K5%2FreG2JWGzSXeEg7kr3ywEnG3zeXrw9g1o7M4VuIV%2BWpUeK9AlqmOvOpYa4GStrCsoCFMIrUUgMZwdw9SlDbZsseJgRl7KvZpxsNYqKcxJL8nIwOFcI2Wfohp5qVLemERI6e6l8l9c0yf3VnzUHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=88862658133&catId=50000249
